🇨🇳电视频道,#genre#
湖南卫视,http://gouwu.pthv.gitv.tv:91/live/HuNWShd-8M/live.m3u8
河南卫视,http://gouwu.pthv.gitv.tv:91/live/HuNWS-1500k/live.m3u8
河南卫视,http://gouwu.pthv.gitv.tv:91/live/HuNWShd-8M/live.m3u8
北京卫视,http://gouwu.pthv.gitv.tv:91/live/BJWS-1500k/live.m3u8
北京卫视,http://gouwu.pthv.gitv.tv:91/live/BJWShd-8M/live.m3u8
东方卫视,http://gouwu.pthv.gitv.tv:91/live/DFWS-1500k/live.m3u8
东方卫视,http://gouwu.pthv.gitv.tv:91/live/DFWShd-8M/live.m3u8
天津卫视,http://gouwu.pthv.gitv.tv:91/live/TJWS-1500k/live.m3u8
天津卫视,http://gouwu.pthv.gitv.tv:91/live/TJWShd-8M/live.m3u8
重庆卫视,http://gouwu.pthv.gitv.tv:91/live/CQWS-1500k/live.m3u8
重庆卫视,http://gouwu.pthv.gitv.tv:91/live/CQWShd-8M/live.m3u8
黑龙江卫视,http://gouwu.pthv.gitv.tv:91/live/HLJWS-1500k/live.m3u8
黑龙江卫视,http://gouwu.pthv.gitv.tv:91/live/HLJWShd-8M/live.m3u8
吉林卫视,http://gouwu.pthv.gitv.tv:91/live/JLWS-1500k/live.m3u8
吉林卫视,http://gouwu.pthv.gitv.tv:91/live/JLWShd-8M/live.m3u8
辽宁卫视,http://gouwu.pthv.gitv.tv:91/live/LNWS-1500k/live.m3u8
辽宁卫视,http://gouwu.pthv.gitv.tv:91/live/LNWShd-8M/live.m3u8
内蒙卫视,http://gouwu.pthv.gitv.tv:91/live/NMGWS-1500k/live.m3u8
宁夏卫视,http://gouwu.pthv.gitv.tv:91/live/NXWS-1500k/live.m3u8
甘肃卫视,http://gouwu.pthv.gitv.tv:91/live/GSWS-1500k/live.m3u8
青海卫视,http://gouwu.pthv.gitv.tv:91/live/QHWS-1500k/live.m3u8
陕西卫视,http://gouwu.pthv.gitv.tv:91/live/SXWS3-1500k/live.m3u8
河北卫视,http://gouwu.pthv.gitv.tv:91/live/HeBWS-1500k/live.m3u8
河北卫视,http://gouwu.pthv.gitv.tv:91/live/HeBWShd-8M/live.m3u8
山西卫视,http://gouwu.pthv.gitv.tv:91/live/SXWS1-1500k/live.m3u8
山东卫视,http://gouwu.pthv.gitv.tv:91/live/SDWS-1500k/live.m3u8
山东卫视,http://gouwu.pthv.gitv.tv:91/live/SDWShd-8M/live.m3u8
安徽卫视,http://gouwu.pthv.gitv.tv:91/live/AHWS-1500k/live.m3u8
安徽卫视,http://gouwu.pthv.gitv.tv:91/live/AHWShd-8M/live.m3u8
湖北卫视,http://gouwu.pthv.gitv.tv:91/live/HuBWS-1500k/live.m3u8
湖北卫视,http://gouwu.pthv.gitv.tv:91/live/HuBWShd-8M/live.m3u8
江西卫视,http://gouwu.pthv.gitv.tv:91/live/JXWS-1500k/live.m3u8
江西卫视,http://gouwu.pthv.gitv.tv:91/live/JXWShd-8M/live.m3u8
江苏卫视,http://gouwu.pthv.gitv.tv:91/live/JSWS-1500k/live.m3u8
江苏卫视,http://gouwu.pthv.gitv.tv:91/live/JSWShd-8M/live.m3u8
浙江卫视,http://gouwu.pthv.gitv.tv:91/live/ZJWS-1500k/live.m3u8
浙江卫视,http://gouwu.pthv.gitv.tv:91/live/ZJWShd-8M/live.m3u8
东南卫视,http://gouwu.pthv.gitv.tv:91/live/DNWS-1500k/live.m3u8
东南卫视,http://gouwu.pthv.gitv.tv:91/live/DNWShd-8M/live.m3u8
厦门卫视,http://gouwu.pthv.gitv.tv:91/live/XMWS-1500k/live.m3u8
广东卫视,http://gouwu.pthv.gitv.tv:91/live/GDWS-1500k/live.m3u8
广东卫视,http://gouwu.pthv.gitv.tv:91/live/GDWShd-8M/live.m3u8
深圳卫视,http://gouwu.pthv.gitv.tv:91/live/SZWS-1500k/live.m3u8
深圳卫视,http://gouwu.pthv.gitv.tv:91/live/SZWShd-8M/live.m3u8
广西卫视,http://gouwu.pthv.gitv.tv:91/live/GXWS-1500k/live.m3u8
云南卫视,http://gouwu.pthv.gitv.tv:91/live/YNWS-1500k/live.m3u8
贵州卫视,http://gouwu.pthv.gitv.tv:91/live/GZWS-1500k/live.m3u8
贵州卫视,http://gouwu.pthv.gitv.tv:91/live/GZWShd-8M/live.m3u8
四川卫视,http://gouwu.pthv.gitv.tv:91/live/SCWS-1500k/live.m3u8
新疆卫视,http://gouwu.pthv.gitv.tv:91/live/XJWS-1500k/live.m3u8
兵团卫视,http://gouwu.pthv.gitv.tv:91/live/BTWS-1500k/live.m3u8
农林卫视,http://gouwu.pthv.gitv.tv:91/live/NLWS-1500k/live.m3u8
大湾区卫视,http://gouwu.pthv.gitv.tv:91/live/NFWS-1500k/live.m3u8
西藏卫视,http://gouwu.pthv.gitv.tv:91/live/XZWS-1500k/live.m3u8
海南卫视,http://gouwu.pthv.gitv.tv:91/live/LYWS-1500k/live.m3u8
三沙卫视,http://gouwu.pthv.gitv.tv:91/live/SSWS-1500k/live.m3u8
纪实文人,http://gouwu.pthv.gitv.tv:91/live/JSRWhd-8M/live.m3u8
金鹰纪实,http://gouwu.pthv.gitv.tv:91/live/JYJShd-8M/live.m3u8
哈哈炫动,http://gouwu.pthv.gitv.tv:91/live/XDKT-1500k/live.m3u8
金鹰卡通,http://gouwu.pthv.gitv.tv:91/live/JYKT-1500k/live.m3u8
嘉佳卡通,http://gouwu.pthv.gitv.tv:91/live/JJKT-1500k/live.m3u8
财富天下,http://gouwu.pthv.gitv.tv:91/live/CFTX-1500k/live.m3u8
CGTV,http://gouwu.pthv.gitv.tv:91/live/CCTVNEWS-1500k/live.m3u8
CETV1中教1台,http://gouwu.pthv.gitv.tv:91/live/CETV1-1500k/live.m3u8
CETV1中教1台,http://gouwu.pthv.gitv.tv:91/live/CETV1hd-8M/live.m3u8
CETV1中教2台,http://gouwu.pthv.gitv.tv:91/live/CETV2-1500k/live.m3u8
CETV1中教3台,http://gouwu.pthv.gitv.tv:91/live/CETV3-1500k/live.m3u8
CETV1中教4台,http://gouwu.pthv.gitv.tv:91/live/CETV4-1500k/live.m3u8
